総合順位	No.	氏名	性別	居住地	総合記録	スイムラップ	S順	バイクラップ	B順	スプリット	通過	ランラップ	R順
198	60024	松本 充	男	神奈川県	2:41:56	0:31:21	329	1:18:37	108	1:49:58	155	0:51:58	350
199	55033	山村 範雄	男	神奈川県	2:42:13	0:27:30	118	1:22:11	202	1:49:41	151	0:52:32	377
200	35147	前田 学	男	東京都	2:42:16	0:31:54	364	1:20:00	142	1:51:54	197	0:50:22	278
201	50044	小林 寛	男	東京都	2:42:17	0:33:58	534	1:19:08	120	1:53:06	224	0:49:11	217
202	30058	木塚 大悟	男	東京都	2:42:40	0:24:30	49	1:20:02	143	1:44:32	69	0:58:08	581
203	40106	澤田 裕行	男	神奈川県	2:42:41	0:29:17	212	1:22:21	212	1:51:38	189	0:51:03	308
204	50052	紫芝 弘之	男	千葉県	2:43:01	0:30:26	275	1:27:21	430	1:57:47	345	0:45:14	106
205	45078	猿田 克己	男	茨城県	2:43:03	0:27:32	119	1:23:26	255	1:50:58	172	0:52:05	358
206	25088	山村 勇騎	男	神奈川県	2:43:09	0:27:09	106	1:19:49	137	1:46:58	104	0:56:11	523
207	50003	Kambli Rolf	男	Swiss	2:43:13	0:30:08	261	1:22:15	207	1:52:23	208	0:50:50	301
208	50045	小山 進	男	神奈川県	2:43:13	0:29:25	218	1:23:46	270	1:53:11	226	0:50:02	257
209	35509	近藤 裕子	女	千葉県	2:43:16	0:33:34	495	1:26:58	410	2:00:32	420	0:42:44	53
210	40082	草野 善誠	男	岐阜県	2:43:16	0:27:58	134	1:21:14	177	1:49:12	143	0:54:04	441
211	35094	田中 相司	男	大阪府	2:43:19	0:29:16	211	1:23:07	240	1:52:23	207	0:50:56	304
212	30032	岩井 耕介	男	神奈川県	2:43:20	0:29:14	209	1:26:49	398	1:56:03	298	0:47:17	163
213	40083	國枝 秀行	男	東京都	2:43:21	0:34:34	572	1:19:30	127	1:54:04	245	0:49:17	222
214	35030	大野 修治	男	神奈川県	2:43:23	0:30:38	284	1:23:21	250	1:53:59	243	0:49:24	228
215	40505	川嶋 明子	女	東京都	2:43:26	0:26:10	82	1:23:16	246	1:49:26	147	0:54:00	434
216	45164	宮内 努	男	東京都	2:43:33	0:36:43	710	1:22:04	198	1:58:47	365	0:44:46	99
217	40158	中津海 哲夫	男	神奈川県	2:43:41	0:31:55	368	1:25:34	334	1:57:29	336	0:46:12	135
218	40182	福田 稔	男	東京都	2:43:51	0:33:33	494	1:20:41	161	1:54:14	246	0:49:37	238
219	40227	横瀬 隆司	男	東京都	2:43:55	0:34:01	537	1:18:13	97	1:52:14	203	0:51:41	336
220	35132	平澤 雅史	男	岐阜県	2:43:55	0:34:50	587	1:21:46	191	1:56:36	309	0:47:19	165
221	40153	内藤 洋志	男	神奈川県	2:44:00	0:27:22	114	1:24:30	295	1:51:52	195	0:52:08	363
222	45157	松本 修二	男	神奈川県	2:44:04	0:29:32	222	1:23:57	277	1:53:29	235	0:50:35	292
223	45121	冨永 武史	男	神奈川県	2:44:09	0:30:27	277	1:26:15	373	1:56:42	313	0:47:27	168
224	45081	篠崎 公一	男	神奈川県	2:44:10	0:35:58	662	1:22:22	213	1:58:20	354	0:45:50	124
225	40190	堀内 章広	男	東京都	2:44:12	0:29:59	254	1:21:28	182	1:51:27	182	0:52:45	386
226	35130	東 健太郎	男	愛媛県	2:44:12	0:31:57	372	1:20:12	148	1:52:09	202	0:52:03	352
227	35516	須見 眞左子	女	東京都	2:44:15	0:33:20	471	1:21:38	186	1:54:58	267	0:49:17	223
228	30508	細川 久実子	女	岩手県	2:44:25	0:28:44	175	1:26:24	380	1:55:08	272	0:49:17	224
229	40215	矢野 聡史	男	東京都	2:44:28	0:27:46	127	1:22:24	215	1:50:10	160	0:54:18	454
230	40181	福田 将之	男	神奈川県	2:44:30	0:28:45	178	1:21:34	184	1:50:19	164	0:54:11	448
231	30028	市川 和也	男	東京都	2:44:33	0:32:38	418	1:26:32	383	1:59:10	376	0:45:23	113
232	35103	中重 雄史	男	神奈川県	2:44:40	0:30:45	293	1:23:48	272	1:54:33	254	0:50:07	265
233	30056	北荘 正人	男	石川県	2:44:41	0:30:58	308	1:26:55	408	1:57:53	347	0:46:48	151
234	40087	後藤 武郎	男	山形県	2:44:44	0:31:44	351	1:25:20	327	1:57:04	321	0:47:40	174
235	40047	岩渕 貴光	男	岩手県	2:44:45	0:29:38	228	1:30:10	535	1:59:48	392	0:44:57	102
236	25041	坂野 圭一郎	男	神奈川県	2:44:49	0:31:58	377	1:17:36	87	1:49:34	149	0:55:15	490
237	45001	Byrd Jack	男	USA	2:44:49	0:32:00	380	1:16:36	63	1:48:36	132	0:56:13	525
238	40016	青中 伸一	男	埼玉県	2:44:49	0:28:54	184	1:22:01	197	1:50:55	171	0:53:54	427
239	35512	篠原 三陽	女	神奈川県	2:44:50	0:29:11	205	1:26:50	404	1:56:01	296	0:48:49	206
240	25095	渡辺 徹	男	神奈川県	2:44:54	0:35:26	624	1:23:21	251	1:58:47	364	0:46:07	131
241	50046	齋藤 博	男	神奈川県	2:44:54	0:29:50	240	1:26:39	391	1:56:29	306	0:48:25	191
242	50102	山崎 博之	男	神奈川県	2:44:58	0:31:51	358	1:22:33	223	1:54:24	249	0:50:34	291
243	40184	藤田 航平	男	東京都	2:45:13	0:31:01	313	1:24:42	307	1:55:43	289	0:49:30	234
244	30070	澤木 冬彦	男	東京都	2:45:15	0:32:23	403	1:20:48	162	1:53:11	225	0:52:04	354
245	40057	岡田 賢治	男	千葉県	2:45:19	0:31:53	363	1:22:45	231	1:54:38	260	0:50:41	295
246	45056	久保 秀樹	男	神奈川県	2:45:22	0:29:54	247	1:24:39	305	1:54:33	256	0:50:49	300
247	35099	玉置 泰宏	男	埼玉県	2:45:23	0:30:05	260	1:24:57	316	1:55:02	270	0:50:21	277
248	45076	佐伯 暢之	男	神奈川県	2:45:27	0:24:23	47	1:28:08	459	1:52:31	211	0:52:56	390
249	40038	泉 聡一郎	男	宮城県	2:45:30	0:28:50	182	1:22:43	230	1:51:33	184	0:53:57	430
250	45116	津野 健一	男	新潟県	2:45:31	0:31:57	376	1:23:25	253	1:55:22	279	0:50:09	266
251	40058	岡田 琢磨	男	東京都	2:45:39	0:29:25	216	1:26:12	367	1:55:37	283	0:50:02	259
252	35006	John Solheim	男	USA	2:45:40	0:29:41	232	1:25:30	331	1:55:11	274	0:50:29	286
253	40088	小西 達也	男	東京都	2:45:40	0:27:04	104	1:26:31	382	1:53:35	239	0:52:05	359
254	30017	阿住 信彦	男	神奈川県	2:45:41	0:30:51	299	1:23:48	273	1:54:39	262	0:51:02	307
255	25084	森下 健二	男	滋賀県	2:45:43	0:27:11	108	1:25:35	337	1:52:46	215	0:52:57	392
256	45029	大石 修司	男	千葉県	2:45:51	0:38:50	801	1:21:26	180	2:00:16	415	0:45:35	120
257	25034	木部 泰洋	男	東京都	2:45:53	0:35:48	650	1:26:15	374	2:02:03	470	0:43:50	73
258	35041	甲斐 隆彦	男	宮崎県	2:46:00	0:33:00	443	1:24:16	290	1:57:16	325	0:48:44	203
259	25505	中曽根 麻世	女	神奈川県	2:46:00	0:22:54	16	1:33:31	648	1:56:25	303	0:49:35	236
260	35505	江夏 直子	女	埼玉県	2:46:04	0:28:55	185	1:26:59	412	1:55:54	293	0:50:10	268
261	25033	岸園 康平	男	神奈川県	2:46:04	0:23:57	34	1:23:54	276	1:47:51	119	0:58:13	584
262	50012	石井 拓人	男	神奈川県	2:46:06	0:33:21	473	1:24:12	287	1:57:33	337	0:48:33	195
263	35506	木村 文	女	東京都	2:46:12	0:32:25	405	1:25:11	321	1:57:36	339	0:48:36	198
264	45099	高倉 徹	男	神奈川県	2:46:15	0:31:17	327	1:27:14	424	1:58:31	360	0:47:44	176
265	25058	竹岡 篤志	男	京都府	2:46:20	0:27:18	112	1:22:42	227	1:50:00	157	0:56:20	530
266	40043	伊藤 尚真	男	東京都	2:46:22	0:28:23	157	1:23:30	258	1:51:53	196	0:54:29	461
267	25064	中瀬 智也	男	神奈川県	2:46:24	0:34:48	584	1:19:33	130	1:54:21	247	0:52:03	351
268	45027	江野 史人	男	東京都	2:46:27	0:32:11	390	1:20:33	157	1:52:44	214	0:53:43	420
269	40095	斉藤 岳	男	神奈川県	2:46:32	0:31:48	356	1:23:25	254	1:55:13	276	0:51:19	320
270	25074	飛田 耶馬人	男	山梨県	2:46:33	0:36:22	688	1:23:19	248	1:59:41	387	0:46:52	153
271	30063	小西 隆夫	男	東京都	2:46:40	0:36:07	671	1:30:22	547	2:06:29	588	0:40:11	25
272	40090	小林 智	男	神奈川県	2:46:44	0:28:25	161	1:26:46	393	1:55:11	275	0:51:33	329
273	40164	成田 俊孝	男	神奈川県	2:46:50	0:31:14	324	1:25:30	330	1:56:44	316	0:50:06	263
274	35021	井上 茂亮	男	神奈川県	2:46:56	0:26:23	86	1:28:39	483	1:55:02	269	0:51:54	348
275	40185	藤原 裕	男	山梨県	2:46:58	0:35:15	614	1:24:07	285	1:59:22	380	0:47:36	173
276	45031	太田 伸一	男	東京都	2:47:01	0:33:49	519	1:26:52	406	2:00:41	428	0:46:20	138
277	35169	山口 仁	男	神奈川県	2:47:01	0:32:18	394	1:27:51	451	2:00:09	406	0:46:52	152
278	50009	浅川 浩一郎	男	神奈川県	2:47:04	0:30:15	265	1:24:20	292	1:54:35	257	0:52:29	375
279	35038	小澤 隆行	男	埼玉県	2:47:06	0:30:53	301	1:19:44	135	1:50:37	167	0:56:29	534
280	40168	西尾 栄二	男	東京都	2:47:15	0:32:10	389	1:25:53	351	1:58:03	350	0:49:12	218
281	45038	大平 幸典	男	神奈川県	2:47:15	0:35:43	640	1:25:50	349	2:01:33	458	0:45:42	123
282	30120	山名 一平	男	埼玉県	2:47:18	0:25:22	67	1:25:45	347	1:51:07	173	0:56:11	522
283	35022	井本 税	男	東京都	2:47:21	0:32:58	439	1:27:54	454	2:00:52	435	0:46:29	141
284	45136	濱畑 健次	男	神奈川県	2:47:22	0:28:40	172	1:26:59	411	1:55:39	285	0:51:43	338
285	30021	飯田 真之	男	神奈川県	2:47:50	0:35:40	635	1:26:50	403	2:02:30	488	0:45:20	111
286	40149	寺田 武史	男	東京都	2:47:51	0:30:44	291	1:23:46	271	1:54:30	250	0:53:21	409
287	40113	島 正博	男	東京都	2:47:53	0:37:52	763	1:19:36	133	1:57:28	334	0:50:25	283
288	40169	仁科 尚也	男	神奈川県	2:47:55	0:28:49	180	1:28:34	482	1:57:23	330	0:50:32	288
289	45109	田中 太	男	大阪府	2:47:57	0:39:12	812	1:21:41	187	2:00:53	436	0:47:04	158
290	40118	城 潔	男	東京都	2:48:00	0:31:59	378	1:27:31	437	1:59:30	384	0:48:30	193
291	40024	足立 吉信	男	神奈川県	2:48:03	0:36:54	721	1:28:46	485	2:05:40	564	0:42:23	49
292	45051	上白石 守	男	東京都	2:48:05	0:29:34	225	1:25:56	355	1:55:30	281	0:52:35	378
293	30083	滝沢 典史	男	埼玉県	2:48:13	0:36:37	703	1:24:01	278	2:00:38	424	0:47:35	172
294	40050	歌田 拓史	男	千葉県	2:48:24	0:33:20	470	1:21:26	181	1:54:46	264	0:53:38	417
295	40086	小久保 淳	男	神奈川県	2:48:29	0:30:55	303	1:26:19	379	1:57:14	323	0:51:15	315
296	45139	林 裕二	男	愛知県	2:48:33	0:33:36	500	1:26:14	371	1:59:50	393	0:48:43	201
297	40165	成田 昌臣	男	愛知県	2:48:40	0:28:23	160	1:26:10	364	1:54:33	255	0:54:07	443
298	45160	三浦 保志	男	神奈川県	2:48:42	0:32:57	438	1:27:15	426	2:00:12	411	0:48:30	192
299	35049	河崎 一茂	男	神奈川県	2:48:48	0:26:01	79	1:27:00	413	1:53:01	222	0:55:47	508
300	40167	仁木 寿志	男	宮城県	2:48:50	0:27:25	115	1:25:32	332	1:52:57	221	0:55:53	512
301	50037	北山 毅	男	東京都	2:48:51	0:33:15	461	1:25:10	320	1:58:25	358	0:50:26	284
302	35510	斎藤 美香	女	東京都	2:48:53	0:25:10	63	1:29:51	523	1:55:01	268	0:53:52	426
303	45050	金田 和男	男	神奈川県	2:48:56	0:33:53	526	1:22:43	229	1:56:36	311	0:52:20	369
304	25014	岩倉 和彦	男	三重県	2:49:10	0:31:15	326	1:28:58	493	2:00:13	412	0:48:57	209
305	40177	原田 康裕	男	神奈川県	2:49:12	0:30:40	286	1:25:56	356	1:56:36	310	0:52:36	379
306	45040	岡本 達也	男	東京都	2:49:13	0:33:51	521	1:26:50	400	2:00:41	429	0:48:32	194
307	40179	蛭子 直和	男	東京都	2:49:15	0:28:21	156	1:29:46	520	1:58:07	352	0:51:08	311
308	30123	吉奥 祐介	男	大阪府	2:49:25	0:35:36	630	1:21:58	195	1:57:34	338	0:51:51	344
309	50079	西村 弘	男	神奈川県	2:49:25	0:24:03	38	1:23:45	269	1:47:48	118	1:01:37	678
310	40230	吉田 啓	男	東京都	2:49:28	0:34:11	551	1:21:04	171	1:55:15	277	0:54:13	451
311	25507	村田 明子	女	千葉県	2:49:31	0:27:25	116	1:27:06	415	1:54:31	252	0:55:00	481
312	40054	大上 一人	男	千葉県	2:49:33	0:31:57	375	1:24:05	283	1:56:02	297	0:53:31	413
313	40189	細井 武志	男	東京都	2:49:34	0:30:18	269	1:25:54	354	1:56:12	300	0:53:22	410
314	40092	小林 輝	男	神奈川県	2:49:40	0:33:42	510	1:20:55	166	1:54:37	258	0:55:03	482
315	50065	高橋 國弘	男	神奈川県	2:49:43	0:33:31	491	1:25:40	340	1:59:11	377	0:50:32	289
316	40183	藤澤 基之	男	神奈川県	2:49:43	0:33:51	522	1:23:36	262	1:57:27	333	0:52:16	367
317	50507	平松 かおり	女	神奈川県	2:49:46	0:33:16	463	1:24:04	282	1:57:20	327	0:52:26	373
318	50074	中田 修裕	男	静岡県	2:49:53	0:33:43	512	1:26:12	368	1:59:55	396	0:49:58	252
319	45187	鷲津 雅広	男	東京都	2:49:57	0:30:58	309	1:29:12	501	2:00:10	410	0:49:47	245
320	40051	内山 一慶	男	東京都	2:49:57	0:33:11	455	1:29:48	521	2:02:59	503	0:46:58	154
321	35031	大森 雄介	男	神奈川県	2:49:59	0:31:22	330	1:23:25	252	1:54:47	265	0:55:12	489
322	25068	萩尾 一仁	男	東京都	2:50:05	0:29:25	219	1:26:43	392	1:56:08	299	0:53:57	429
323	50107	吉野 浩樹	男	神奈川県	2:50:05	0:33:04	446	1:24:36	302	1:57:40	342	0:52:25	372
324	35034	沖津 剛	男	神奈川県	2:50:05	0:31:30	340	1:24:31	297	1:56:01	295	0:54:04	440
325	35107	中村 朝之	男	東京都	2:50:06	0:31:38	349	1:28:18	469	1:59:56	397	0:50:10	267
326	40036	石橋 正樹	男	神奈川県	2:50:15	0:24:09	42	1:28:09	461	1:52:18	205	0:57:57	576
327	40030	池松 州一郎	男	東京都	2:50:17	0:31:55	369	1:25:20	326	1:57:15	324	0:53:02	394
328	45514	林 恵美子	女	東京都	2:50:18	0:36:45	711	1:25:59	357	2:02:44	494	0:47:34	170
329	45066	小櫃 久仁彦	男	神奈川県	2:50:20	0:37:39	757	1:27:07	417	2:04:46	543	0:45:34	119
330	50085	福士 幸彦	男	東京都	2:50:25	0:33:52	523	1:21:46	192	1:55:38	284	0:54:47	477
331	40098	斉藤 充宏	男	神奈川県	2:50:25	0:36:20	684	1:30:04	530	2:06:24	584	0:44:01	76
332	35035	沖津 英雄	男	東京都	2:50:32	0:30:46	295	1:25:45	346	1:56:31	307	0:54:01	436
333	40131	関口 秀之	男	東京都	2:50:32	0:36:01	664	1:23:06	239	1:59:07	374	0:51:25	325
334	30093	中山 竜一	男	東京都	2:50:33	0:31:29	339	1:25:14	324	1:56:43	314	0:53:50	425
335	30069	榊原 雄太	男	神奈川県	2:50:37	0:28:20	153	1:26:49	397	1:55:09	273	0:55:28	497
336	35144	堀内 智典	男	東京都	2:50:40	0:36:32	698	1:23:43	268	2:00:15	414	0:50:25	281
337	35007	琴 亮吉	男	Korea	2:50:45	0:30:19	270	1:22:53	236	1:53:12	227	0:57:33	564
338	50502	卯月 静子	女	東京都	2:50:46	0:32:21	400	1:24:35	300	1:56:56	320	0:53:50	424
339	40515	藤田 千華	女	神奈川県	2:50:49	0:36:35	701	1:24:45	310	2:01:20	450	0:49:29	231
340	35104	中島 悠	男	東京都	2:51:01	0:29:52	243	1:28:33	479	1:58:25	357	0:52:36	380
341	50106	横溝 英俊	男	千葉県	2:51:03	0:36:40	707	1:28:18	470	2:04:58	548	0:46:05	129
342	45090	小路 庸訓	男	東京都	2:51:07	0:31:23	331	1:26:16	376	1:57:39	341	0:53:28	412
343	30062	後藤 雄介	男	神奈川県	2:51:14	0:35:13	611	1:24:57	315	2:00:10	409	0:51:04	309
344	45123	長岡 信裕	男	東京都	2:51:23	0:32:25	406	1:26:48	395	1:59:13	378	0:52:10	366
345	45512	寺田 香織	女	東京都	2:51:26	0:33:17	465	1:26:50	401	2:00:07	404	0:51:19	318
346	55018	竹内 逸朗	男	埼玉県	2:51:31	0:32:15	393	1:27:07	418	1:59:22	381	0:52:09	365
347	40236	渡辺 殖	男	神奈川県	2:51:34	0:34:36	575	1:30:19	543	2:04:55	545	0:46:39	148
348	35068	笹倉 潤	男	東京都	2:51:36	0:35:09	607	1:23:31	259	1:58:40	363	0:52:56	389
349	55003	伊藤 哲夫	男	三重県	2:51:37	0:34:06	545	1:28:44	484	2:02:50	497	0:48:47	204
350	40013	相原 伸行	男	東京都	2:51:41	0:33:24	479	1:27:22	434	2:00:46	432	0:50:55	303
351	45095	関根 孝一	男	東京都	2:51:44	0:35:56	659	1:26:33	385	2:02:29	486	0:49:15	219
352	40091	小林 秀治	男	東京都	2:51:45	0:29:49	239	1:22:10	201	1:51:59	198	0:59:46	629
353	35076	鈴木 慎一郎	男	東京都	2:51:46	0:32:23	404	1:25:14	323	1:57:37	340	0:54:09	444
354	40192	前田 吉徳	男	東京都	2:51:47	0:26:31	89	1:27:02	414	1:53:33	237	0:58:14	585
355	30114	森 厚友	男	神奈川県	2:51:52	0:35:28	625	1:27:21	432	2:02:49	496	0:49:03	211
356	40125	鈴木 恒夫	男	東京都	2:51:52	0:31:45	352	1:24:02	280	1:55:47	291	0:56:05	517
357	50105	湯浅 和己	男	東京都	2:51:52	0:33:37	503	1:26:49	399	2:00:26	418	0:51:26	326
358	20015	和田 光暁	男	東京都	2:51:53	0:35:23	621	1:20:25	151	1:55:48	292	0:56:05	518
359	40101	佐藤 弘章	男	東京都	2:51:55	0:23:42	28	1:31:23	576	1:55:05	271	0:56:50	542
360	50066	高橋 直樹	男	東京都	2:51:56	0:32:09	388	1:26:14	370	1:58:23	356	0:53:33	414
361	45124	中川 雅之	男	神奈川県	2:51:56	0:29:57	251	1:31:48	589	2:01:45	462	0:50:11	270
362	50033	川野 政博	男	神奈川県	2:51:57	0:38:16	780	1:28:21	475	2:06:37	591	0:45:20	110
363	45115	土屋 慶幸	男	東京都	2:52:01	0:33:21	472	1:26:48	394	2:00:09	407	0:51:52	346
364	35074	神野 敦雄	男	東京都	2:52:03	0:32:35	416	1:19:59	141	1:52:34	212	0:59:29	618
365	45092	菅谷 英明	男	東京都	2:52:05	0:38:56	806	1:23:17	247	2:02:13	478	0:49:52	249
366	25085	八城 幸平	男	栃木県	2:52:05	0:34:34	571	1:29:38	517	2:04:12	531	0:47:53	179
367	30102	福島 誠也	男	神奈川県	2:52:06	0:33:06	450	1:27:42	443	2:00:48	433	0:51:18	317
368	60028	渡辺 正義	男	兵庫県	2:52:10	0:36:13	678	1:25:44	345	2:01:57	468	0:50:13	273
369	40085	郷右近 隆也	男	東京都	2:52:11	0:31:51	360	1:30:19	544	2:02:10	475	0:50:01	256
370	40229	横山 剛	男	東京都	2:52:14	0:35:48	649	1:27:11	423	2:02:59	504	0:49:15	220
371	35105	中野 稔	男	東京都	2:52:17	0:27:32	120	1:25:42	343	1:53:14	229	0:59:03	601
372	30073	清水 紀孝	男	宮城県	2:52:17	0:34:35	573	1:23:09	242	1:57:44	343	0:54:33	466
373	40068	冠木 隆	男	千葉県	2:52:21	0:38:25	785	1:21:53	194	2:00:18	416	0:52:03	353
374	25066	名取 和正	男	神奈川県	2:52:26	0:24:42	52	1:25:35	336	1:50:17	163	1:02:09	694
375	25072	原口 信輝	男	神奈川県	2:52:27	0:37:25	749	1:23:10	243	2:00:35	421	0:51:52	345
376	35513	下方 純代	女	神奈川県	2:52:28	0:33:37	501	1:28:50	488	2:02:27	485	0:50:01	255
377	30044	落合 大	男	東京都	2:52:30	0:34:37	576	1:21:04	170	1:55:41	286	0:56:49	539
378	40233	若林 夏樹	男	東京都	2:52:35	0:35:03	601	1:23:32	260	1:58:35	361	0:54:00	435
379	35071	柴崎 真夫	男	群馬県	2:52:37	0:37:48	762	1:24:19	291	2:02:07	473	0:50:30	287
380	40512	馬場 三佳	女	千葉県	2:52:38	0:25:39	72	1:28:59	494	1:54:38	261	0:58:00	579
381	40193	真下 昭	男	神奈川県	2:52:41	0:35:12	610	1:27:50	450	2:03:02	506	0:49:39	239
382	45080	篠江 洋人	男	東京都	2:52:44	0:33:18	468	1:27:20	429	2:00:38	426	0:52:06	360
383	40052	江波戸 一貴	男	東京都	2:52:48	0:31:38	348	1:29:19	505	2:00:57	441	0:51:51	343
384	35175	横田 裕弘	男	東京都	2:52:52	0:28:15	146	1:24:34	299	1:52:49	217	1:00:03	635
385	25082	宮下 純一	男	東京都	2:52:53	0:22:58	18	1:34:22	673	1:57:20	326	0:55:33	501
386	45073	佐々木 通孝	男	千葉県	2:52:55	0:34:07	547	1:24:42	308	1:58:49	369	0:54:06	442
387	30014	浅香 聡	男	東京都	2:52:56	0:24:29	48	1:25:47	348	1:50:16	162	1:02:40	704
388	45096	千田 茂雄	男	群馬県	2:52:59	0:30:46	294	1:33:10	638	2:03:56	527	0:49:03	212
389	45017	池水 雄一	男	東京都	2:53:00	0:34:38	577	1:28:19	472	2:02:57	502	0:50:03	261
