総合順位	No.	氏名	年齢	性別	総合記録	スイムラップ	S順	バイクラップ	日順	スプリット	通過	ランラップ	R順	男子順位	女子順位
1	105	杉原 啓佑	28	男	2:09:54	0:20:10	3	1:12:18	5	1:32:28	4	0:37:26	1	1	
2	162	長辻 肇	48	男	2:10:28	0:22:20	7	1:09:08	1	1:31:28	3	0:39:00	2	2	
3	113	奥平 竜司	34	男	2:13:29	0:19:38	2	1:09:49	3	1:29:27	2	0:44:02	6	3	
4	102	柴田 大輔	24	男	2:13:52	0:22:17	6	1:11:32	4	1:33:49	5	0:40:03	3	4	
5	117	原田 哲弥	37	男	2:18:20	0:18:24	1	1:09:27	2	1:27:51	1	0:50:29	42	5	
6	223	田村 誠	59	男	2:24:33	0:22:58	10	1:15:11	8	1:38:09	6	0:46:24	16	6	
7	106	川瀬 佐太	28	男	2:26:26	0:29:44	59	1:13:13	6	1:42:57	11	0:43:29	5	7	
8	182	馬場 正基	52	男	2:29:42	0:28:38	42	1:16:14	11	1:44:52	12	0:44:50	10	8	
9	157	筒井 貴之	47	男	2:31:00	0:23:19	11	1:18:43	16	1:42:02	9	0:48:58	30	9	
10	197	大石 尾張	54	男	2:31:43	0:25:20	20	1:17:16	14	1:42:36	10	0:49:07	32	10	
11	183	堀越 由忠	53	男	2:32:21	0:29:58	63	1:21:39	32	1:51:37	34	0:40:44	4	11	
12	160	國本 真司	48	男	2:32:30	0:29:16	50	1:18:38	15	1:47:54	21	0:44:36	8	12	
13	139	金澤 英明	42	男	2:34:30	0:25:12	19	1:16:46	12	1:41:58	8	0:52:32	56	13	
14	172	鈴木 恒二	50	男	2:34:31	0:29:45	60	1:18:56	18	1:48:41	25	0:45:50	13	14	
15	187	藤巻 裕之	53	男	2:36:15	0:29:24	55	1:18:44	17	1:48:08	22	0:48:07	22	15	
16	142	小林 勇三	43	男	2:36:23	0:32:04	95	1:14:54	7	1:46:58	18	0:49:25	35	16	
17	117	Vyshegoroatssy Marat	33	男	2:36:44	0:24:06	15	1:16:11	10	1:40:17	7	0:56:27	85	17	
18	136	神谷 貴彦	42	男	2:36:46	0:26:07	25	1:21:28	30	1:47:35	20	0:49:11	33	18	
19	308	下村 石美	34	女	2:36:52	0:30:59	73	1:21:08	28	1:52:07	38	0:44:45	9		1
20	227	伊藤 さけし	61	男	2:37:18	0:25:46	22	1:21:22	29	1:47:08	19	0:60:10	40	19	
21	146	佐藤 博之	44	男	2:37:31	0:26:17	27	1:19:50	20	1:46:07	15	0:51:24	49	20	
22	180	北岸 郁雄	52	男	2:38:07	0:21:41	4	1:24:21	43	1:46:02	14	0:52:05	54	21	
23	176	南土 佐町	51	男	2:38:10	0:33:15	107	1:16:58	13	1:50:13	29	0:47:57	20	22	
24	151	大沼 亮	45	男	2:38:54	0:27:39	31	1:21:34	31	1:49:13	26	0:49:41	38	23	
25	193	市川 信一	53	男	2:39:26	0:29:49	61	1:15:26	9	1:45:15	13	0:54:11	74	24	
26	121	下村 康文	38	男	2:39:30	0:29:21	54	1:23:13	38	1:52:34	42	0:46:56	17	25	
27	184	関口 秀之	53	男	2:40:04	0:31:40	88	1:20:23	23	1:52:03	37	0:48:01	21	26	
28	138	加賀 沢宗隆	42	男	2:40:21	0:31:11	80	1:20:45	27	1:51:56	36	0:48:25	27	27	
29	321	贅沢 さちこ	49	女	2:40:27	0:26:57	30	1:19:17	19	1:46:14	17	0:54:13	75		2
30	119	小倉章	37	男	2:40:35	0:31:49	92	1:20:27	24	1:52:16	39	0:48:19	25	28	
31	309	上野 良子	37	女	2:40:38	0:25:04	18	1:25:55	60	1:50:59	31	0:49:39	37		3
32	188	野口 徹	53	男	2:41:25	0:31:29	85	1:24:39	47	1:56:08	59	0:45:17	12	29	
33	143	茂看   聡	43	男	2:41:36	0:23:35	13	1:22:37	37	1:46:12	16	0:55:24	80	30	
34	201	中西 蓮夫	55	男	2:42:04	0:28:21	37	1:20:13	22	1:48:34	24	0:63:30	65	31	
35	226	小西 裕二	59	男	2:42:07	0:28:51	46	1:22:28	35	1:51:19	33	0:50:48	45	32	
36	127	渡辺 線	39	男	2:42:10	0:29:29	57	1:25:37	58	1:55:06	50	0:47:04	18	33	
37	314	小早 瀬幸枝	45	女	2:42:16	0:32:49	101	1:24:35	45	1:57:24	69	0:44:52	11		4
38	126	小川 友岳	39	男	2:42:24	0:28:35	41	1:27:53	73	1:56:28	60	0:45:56	15	34	
39	1777	佐々木政人	51	男	2:42:46	0:24:25	16	1:26:50	68	1:51:15	32	0:51:31	51	35	
40	114	戸谷 信蘭	34	男	2:43:41	0:29:42	58	1:20:44	26	1:50:26	30	0:53:15	61	36	
41	194	山本 崇正	54	男	2:43:50	0:29:10	48	1:20:30	25	1:49:40	28	0:54:10	73	37	
42	219	山口 運	58	男	2:44:10	0:35:52	137	1:20:00	21	1:55:52	57	0:48:18	24	38	
43	302	廣田 侑紀	20	女	2:44:26	0:22:48	9	1:29:03	77	1:51:51	35	0:52:35	57		5
44	123	山口 正治	38	男	2:44:29	0:26:55	29	1:25:32	57	1:52:27	40	0:52:02	53	39	
45	192	金井 由光	53	男	2:44:44	0:24:37	17	1:24:44	48	1:49:21	27	0:65:23	79	40	
46	173	小幡 修大	51	男	2:45:01	0:31:06	74	1:23:30	39	1:54:36	48	0:50:25	41	41	
47	189	貸手屋 昌司	53	男	2:45:17	0:25:53	23	1:22:30	36	1:48:23	23	0:56:54	89	42	
48	179	小笠原 治	51	男	2:46:25	0:31:14	81	1:22:21	34	1:53:35	45	0:52:50	60	43	
49	235	湯山 幸寛	67	男	2:46:28	0:28:18	36	1:24:22	44	1:52:40	43	0:53:48	67	44	
50	161	今井 竜三郎	48	男	2:46:40	0:28:29	39	1:24:02	42	1:52:31	41	0:54:09	72	45	
51	207	斎藤 親	56	男	2:47:19	0:29:06	47	1:26:22	67	1:55:28	56	0:51:51	52	46	
52	224	木村 隆夫	59	男	2:47:19	0:31:08	77	1:24:49	51	1:55:57	58	0:51:22	48	47	
53	209	川窪 正	56	男	2:47:22	0:28:51	45	1:26:17	65	1:55:08	51	0:62:14	55	48	
54	171	松下 敏人	50	男	2:47:45	0:30:55	72	1:26:00	61	1:56:55	65	0:50:50	46	49	
55	134	渥美 和弥	40	男	2:47:48	0:33:16	109	1:24:49	52	1:58:05	74	0:49:43	39	50	
56	203	川合 亮	55	男	2:47:58	0:30:27	69	1:24:44	49	1:55:11	53	0:52:47	59	51	
57	229	永谷 博	61	男	2:48:15	0:29:20	53	1:25:27	55	1:54:47	49	0:53:28	63	52	
58	118	佐藤 寛之	37	男	2:48:41	0:33:11	104	1:31:01	84	2:04:12	91	0:44:29	7	53	
59	329	佐藤 理絵	54	女	2:48:47	0:29:13	49	1:26:12	63	1:55:25	55	0:63:22	62		6
60	318	小田 切玲	49	女	2:48:50	0:28:24	38	1:31:15	85	1:59:39	78	0:49:11	34		7
61	158	梶原 徹	47	男	2:48:53	0:31:48	91	1:28:57	76	2:00:45	82	0:48:08	23	54	
62	334	黒羽 美鈴里	59	女	2:49:18	0:31:31	87	1:29:12	79	2:00:43	81	0:48:35	28		8
63	312	日下部奈央子	43	女	2:49:45	0:30:04	65	1:25:14	53	1:55:18	54	0:64:27	77		9
64	317	小林 千世	49	女	2:50:01	0:28:03	34	1:26:18	66	1:54:21	47	0:55:40	83		10
65	215	小田切 泰寿	57	男	2:50:08	0:24:06	14	1:33:24	94	1:57:30	70	0:62:38	58	55	
66	144	蒲原 茂明	43	男	2:50:37	0:34:34	120	1:22:04	33	1:56:38	62	0:63:59	69	56	
67	186	太田 貴三	53	男	2:51:02	0:29:18	51	1:27:37	71	1:56:55	66	0:54:07	71	57	
68	218	羽田野 潔	58	男	2:51:30	0:31:07	75	1:26:53	69	1:58:00	73	0:63:30	64	58	
69	220	小林 英彦	58	男	2:51:47	0:30:25	68	1:24:45	50	1:55:10	52	0:56:37	87	59	
70	153	南 童行	46	男	2:52:24	0:25:24	21	1:27:51	72	1:53:15	44	0:59:09	100	60	
71	150	宮武 拓也	45	男	2:52:40	0:28:02	33	1:29:05	78	1:57:07	67	0:55:33	82	61	
72	154	澤 将史	47	男	2:53:16	0:34:12	118	1:25:30	56	1:59:42	79	0:53:34	66	62	
73	124	野頭 雄一郎	39	男	2:53:27	0:33:41	114	1:33:55	98	2:07:36	105	0:45:51	14	63	
74	108	渡邊 光	30	男	2:53:39	0:37:27	145	1:28:44	75	2:06:11	96	0:47:28	19	64	
75	156	白木 幸一	47	男	2:54:07	0:29:18	52	1:24:39	46	1:53:57	46	1:00:10	109	65	
76	212	柏崎 龍進	56	男	2:54:19	0:32:53	102	1:23:45	40	1:56:38	61	0:57:41	91	66	
77	107	佐伯 廣真	29	男	2:55:30	0:33:44	115	1:23:50	41	1:57:34	71	0:57:56	93	67	
78	216	中島 機晴	57	男	2:55:41	0:31:25	84	1:30:18	81	2:01:43	83	0:63:58	68	68	
79	109	若松 宏輔	32	男	2:56:22	0:22:02	5	1:35:12	105	1:57:14	68	0:59:08	99	69	
80	144	川上 清	44	男	2:56:56	0:28:07	35	1:28:38	74	1:56:45	63	1:00:11	110	70	
81	165	松枝 宏司	49	男	2:56:59	0:32:13	96	1:25:26	54	1:57:39	72	0:59:20	103	71	
82	130	高橋 眞	40	男	2:57:40	0:30:32	70	1:35:47	108	2:06:19	97	0:51:21	47	72	
83	202	田中 克己	55	男	2:57:52	0:33:16	110	1:33:51	96	2:07:07	101	0:50:45	44	73	
84	131	濱島 英孝	40	男	2:58:08	0:37:29	146	1:31:49	88	2:09:18	108	0:48:50	29	74	
85	237	古塩 敬之助	70	男	2:58:27	0:26:10	26	1:30:44	83	1:56:54	64	■101:33	116	75	
86	135	古川 智之	40	男	2:58:29	0:34:58	125	1:34:29	99	2:09:27	110	0:49:02	31	76	
87	214	岩田 泰彦	57	男	2:58:40	0:34:52	124	1:32:22	90	2:07:14	103	0:51:26	50	77	
88	208	三矢 好彦	56	男	2:58:44	0:34:47	122	1:29:54	80	2:04:41	92	0:54:03	70	78	
89	222	様選 築	59	男	2:59:11	0:33:40	113	1:26:15	64	1:59:55	80	0:59:16	102	79	
90	330	水上 美佐子	54	女	2:59:39	0:33:12	105	1:38:03	118	2:11:15	114	0:48:24	26		11
91	231	川崎 将司	62	男	3:00:04	0:31:21	82	1:31:59	89	2:03:20	87	0:56:44	88	80	
92	125	吉新 輝久	39	男	3:00:59	0:28:48	44	1:30:27	82	1:59:15	77	1:01:44	118	81	
93	103	ライリーベン	27	男	3:01:06	0:34:59	126	1:36:36	114	2:11:35	119	0:49:31	36	82	
94	233	三田 信三	65	男	3:02:04	0:31:30	86	1:35:05	104	2:06:35	99	0:55:29	91	83	
95	196	加藤 荘十郎	54	男	3:02:18	0:26:52	28	1:31:28	87	1:58:20	75	1:03:58	122	84	
96	200	松田 史雄	55	男	3:02:27	0:36:31	141	1:26:57	70	2:03:28	88	0:68:59	98	85	
97	137	習館 徹	42	男	3:03:41	0:34:48	123	1:34:35	100	2:09:23	109	0:54:18	76	86	
98	333	楓 香	59	女	3:04:19	0:35:27	130	1:32:23	91	2:07:50	107	0:56:29	86		12
99	205	石田 純治	56	男	3:04:29	0:32:33	99	1:33:15	93	2:05:48	94	0:58:41	96	87	
100	213	小島 数	57	男	3:06:40	0:35:41	133	1:31:26	86	2:07:07	102	0:59:33	105	88	
101	169	金久保 豊	49	男	3:07:21	0:32:24	97	1:35:02	102	2:07:26	104	0:59:55	107	89	
102	115	手山 酸	34	男	3:07:25	0:32:01	94	1:35:48	110	2:07:49	106	0:59:36	106	90	
103	306	新井 亮子	30	女	3:07:42	0:31:09	79	1:35:25	106	2:06:34	98	1:01:08	114		13
104	147	肉山 泰	44	男	3:08:30	0:33:59	116	1:39:52	124	2:13:51	124	0:54:39	78	91	
105	199	新井 智志	55	男	3:09:53	0:31:41	89	1:33:39	95	2:05:20	93	1:04:33	123	92	
106	204	平塚 浩司	56	男	3:10:13	0:28:02	32	1:35:48	109	2:03:50	89	1:06:23	130	93	
107	303	福井 伶実	21	女	3:10:42	0:29:28	56	1:42:52	136	2:12:20	122	0:58:22	95		14
108	305	加藤 佑紀	28	女	3:11:13	0:30:01	64	1:40:58	131	2:10:59	112	1:00:14	111		15
109	211	船越 靖苑	56	男	3:11:29	0:33:40	112	1:32:30	92	2:06:10	95	1:05:19	126	94	
110	166	對治 武彦	49	男	3:11:59	0:32:01	93	1:39:25	123	2:11:26	116	1:00:33	113	95	
111	178	西島 恒明	51	男	3:12:24	0:26:07	24	1:37:59	117	2:04:06	90	#108:18	133	96	
112	101	田中 東太郎	23	男	3:12:29	0:32:28	98	1:38:34	120	2:11:02	113	1:01:27	115	97	
113	163	大森 信介	48	男	3:12:39	0:33:59	117	1:40:28	128	2:14:27	126	0:58:12	94	98	
114	392	富樫 京子	57	女	3:13:27	0:38:30	149	1:36:08	111	2:14:38	127	0:58:49	97		16
115	221	高橋 よしあき	59	男	3:14:02	0:35:39	132	1:42:40	134	2:18:19	136	0:55:43	84	99	
116	110	丸山 修平	33	男	3:14:23	0:35:42	135	1:40:51	130	2:16:33	134	0:67:50	92	100	
117	230	岸人 徳恭	61	男	3:14:35	0:36:57	142	1:38:28	119	2:15:25	132	0:59:10	101	101	
118	$28	東海林 亜矢子	50	女	3:15:13	0:44:37	155	1:39:56	125	2:24:33	143	0:50:40	43		17
119	236	諸所 募次	67	男	3:15:14	0:34:17	119	1:40:37	129	2:14:54	128	1:00:20	112	102	
120	316	松井 みゆき	47	女	3:15:34	0:31:09	78	1:42:43	135	2:13:52	125	1:01:42	117		18
121	206	渡邉 徹三	56	男	3:16:27	0:28:29	40	1:33:53	97	2:02:22	85	1:14:05	145	103	
122	167	千葉 俊之	49	男	3:17:23	0:33:18	111	1:36:26	112	2:09:44	111	1:07:39	132	104	
123	112	渡邉 貴之	33	男	3:17:59	0:40:37	150	1:34:36	101	2:15:13	131	1:02:46	119	105	
124	148	岡崎 真人	44	男	3:18:28	0:45:44	156	1:25:46	59	2:11:30	118	1:06:58	131	106	
125	175	新井 秀治	51	男	3:20:19	0:31:08	76	1:49:11	145	2:20:19	139	1:00:00	108	107	
126	159	鈴木 仁	48	男	3:20:23	0:33:04	103	1:26:04	62	1:59:08	76	1:21:15	150	108	
127	155	木村 宗一郎	47	男	3:21:25	0:36:23	140	1:35:04	103	2:11:27	117	1:09:58	138	109	
128	174	近藤 敏	51	男	3:21:33	0:37:27	144	1:35:29	107	2:12:56	123	1:08:37	134	110	
129	191	津森 教	53	男	3:21:55	0:35:42	134	1:36:35	113	2:12:17	121	1:09:38	136	111	
130	210	岡本 信之	56	男	3:22:37	0:34:47	121	1:41:54	133	2:16:41	135	1:05:56	128	112	
131	335	橋田 秀子	66	女	3:23:26	0:35:00	127	1:50:50	148	2:25:50	145	0:57:36	90		19
132	328	冨樫 和恵	52	女	3:23:52	0:31:47	90	1:48:13	142	2:20:00	137	1:03:52	121		20
133	315	南 志麻子	46	女	3:24:25	0:31:22	83	1:40:04	126	2:111:26	115	1:12:59	142		21
134	152	富永 功義	46	男	3:24:28	0:29:54	62	1:36:42	115	2:06:36	100	1:17:52	148	113	
135	168	才野 博士	49	男	3:24:44	0:22:48	8	1:39:20	121	2:02:08	84	1:22:36	152	114	
136	324	石井 美代子	50	女	3:24:58	0:35:35	131	1:40:13	127	2:15:48	133	1:09:10	135		22
137	901	池田 達也	34	男	3:25:19	0:35:58	138	1:44:12	137	2:20:10	138	1:05:09	125	115	
138	149	近藤 費司	44	男	3:25:26	0:23:34	12	1:39:25	122	2:02:59	86	1:22:27	151	116	
139	301	飯田 美夢	20	女	3:25:56	0:30:14	66	1:52:43	154	2:22:57	141	1:02:59	120		23
140	198	木須 和広	54	男	3:26:50	0:35:45	136	1:51:35	150	2:27:20	147	0:69:30	104	117	
141	120	大野 哲朗	37	男	3:28:54	0:28:42	43	1:46:30	141	2:15:12	129	1:13:42	143	118	
142	313	久保 庁	43	女	3:29:17	0:33:16	108	1:49:48	147	2:23:04	142	1:06:13	129		24
143	228	高橋 真琴	61	男	3:31:16	0:30:21	67	1:41:46	132	2:12:07	120	1:19:09	149	119	
144	133	木津 飛鳥	40	男	3:34:21	0:37:06	143	1:44:38	139	2:21:44	140	1:12:37	141	120	
145	104	青木 慧太	27	男	3:36:23	0:41:50	152	1:49:37	146	2:31:27	154	1:04:56	124	121	
146	195	クルーガー インツ	54	男	3:38:15	0:41:18	151	1:46:00	140	2:27:18	146	1:10:57	139	122	
147	190	竹下 伸治	53	男	3:38:57	0:49:56	158	1:37:32	116	2:27:28	149	1:1:29	140	123	
148	320	大坪 佳子	49	女	3:40:49	0:42:43	154	1:48:24	143	2:31:07	153	1:09:42	137		25
149	181	益田 健史	52	男	3:41:13	0:46:40	157	1:48:55	144	2:35:35	156	1:05:38	127	124	
150	310	料治 香里	40	女	3:42:21	0:36:09	139	1:52:13	152	2:28:22	151	1:13:59	144		26
151	164	篠田 徹也	49	男	3:43:06	0:32:43	100	1:52:42	153	2:25:25	144	1:17:41	147	125	
152	116	浅野 童	36	男	3:43:22	0:30:54	71	1:44:18	138	2:15:12	130	1:28:10	156	126	
153	238	Hashitba Yutekea	72	男	3:50:25	0:35:17	129	1:52:06	151	2:27:23	148	1:23:02	153	127	
154	319	大日方 忍	49	女	3:52:43	0:35:16	128	1:53:02	155	2:28:18	150	1:24:25	154		27
155	331	高野 尚美	56	女	3:55:15	0:37:45	147	1:51:26	149	2:29:11	152	1:26:04	155		28
156	122	東ヶ崎 洋生	38	男	3:59:02	0:42:02	153	2:00:09	157	2:42:11	157	1:16:51	146	128	
157	239	鎌田 秀明	73	男	4:22:57	0:38:06	148	1:56:56	156	2:35:02	155	1:47:55	157	129	
DNF	129	黒澤 流	40	男		0:33:14	106								
DNF	232	村上 間	65	男											
DNF	304	高橋 華美	26	女											

